"Date","Price","Open","High","Low","Change %"
"Nov 21, 2016","6.8928","6.8870","6.9000","6.8854","0.06"
"Nov 18, 2016","6.8887","6.8750","6.8929","6.8750","0.15"
"Nov 17, 2016","6.8783","6.8760","6.8792","6.8665","-0.03"
"Nov 16, 2016","6.8804","6.8570","6.8804","6.8570","0.31"
"Nov 15, 2016","6.8591","6.8410","6.8675","6.8410","0.18"
"Nov 14, 2016","6.8468","6.8090","6.8472","6.8090","0.50"
"Nov 11, 2016","6.8125","6.8135","6.8193","6.7954","0.16"
"Nov 10, 2016","6.8019","6.7907","6.8022","6.7886","0.32"
"Nov 09, 2016","6.7800","6.7820","6.7877","6.7550","-0.11"
"Nov 08, 2016","6.7874","6.7740","6.7877","6.7740","0.16"
"Nov 07, 2016","6.7766","6.7534","6.7783","6.7534","0.30"
"Nov 04, 2016","6.7565","6.7612","6.7649","6.7533","-0.12"
"Nov 03, 2016","6.7646","6.7544","6.7664","6.7544","0.11"
"Nov 02, 2016","6.7570","6.7590","6.7678","6.7543","-0.14"
"Nov 01, 2016","6.7665","6.7735","6.7803","6.7616","-0.14"
"Oct 31, 2016","6.7758","6.7692","6.7758","6.7680","-0.05"
"Oct 28, 2016","6.7790","6.7820","6.7899","6.7753","-0.09"
"Oct 27, 2016","6.7851","6.7720","6.7851","6.7720","0.21"
"Oct 26, 2016","6.7711","6.7721","6.7747","6.7665","-0.15"
"Oct 25, 2016","6.7812","6.7728","6.7841","6.7728","0.09"
"Oct 24, 2016","6.7752","6.7621","6.7764","6.7621","0.13"
"Oct 21, 2016","6.7667","6.7439","6.7672","6.7439","0.32"
"Oct 20, 2016","6.7454","6.7370","6.7454","6.7340","0.11"
"Oct 19, 2016","6.7379","6.7358","6.7414","6.7350","-0.04"
"Oct 18, 2016","6.7409","6.7350","6.7418","6.7322","0.05"
"Oct 17, 2016","6.7375","6.7299","6.7425","6.7296","0.13"
"Oct 14, 2016","6.7288","6.7248","6.7288","6.7205","0.02"
"Oct 13, 2016","6.7274","6.7251","6.7341","6.7212","0.13"
"Oct 12, 2016","6.7190","6.7151","6.7237","6.7130","-0.04"
"Oct 11, 2016","6.7220","6.7061","6.7220","6.7048","0.22"
"Oct 10, 2016","6.7074","6.6678","6.7081","6.6678","0.54"
"Oct 07, 2016","6.6716","6.6685","6.6716","6.6685","0.00"
"Oct 06, 2016","6.6716","6.6685","6.6716","6.6685","0.00"
