Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Unnamed: 62,2018
Australia,AUS,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46338431721.6,50111728311.0,53635948088.2,54572911594.5,55290810029.5,62036906626.4,70182584496.6,79842872962.3,84393594743.5,73133991014.8,74820158381.9,83989348863.1,81575692194.6,84497680537.5,94088600035.4,1.14901826682e+11,1.37448890573e+11,1.57748983801e+11,1.82994104399e+11,2.32680429205e+11,1.95104905304e+11,2.60249450615e+11,3.24140478279e+11,3.11985984117e+11,3.07257830406e+11,2.94725278336e+11,2.37375980446e+11,2.4593841522e+11,1.82994104399e+11,,
Austria,AUT,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59058959736e+11,1.75028003699e+11,2.11313160224e+11,2.35876302206e+11,1.85637475393e+11,1.97801804471e+11,2.29323222521e+11,2.18171494112e+11,2.28883573009e+11,2.36025285697e+11,2.01886276678e+11,2.03884024082e+11,2.11313160224e+11,,
Azerbaijan,AZE,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784709000.0,792925000.0,1150053000.0,1009435000.0,1282021000.0,2118103000.0,2368762000.0,2655143000.0,3038268000.0,4123270000.0,8139524000.0,13714380000.0,22355216000.0,31889127000.0,22759265000.0,28234775000.0,37038851000.0,36685877000.0,35912069000.0,32556819000.0,20030038000.0,17578801000.0,22355216000.0,,
Burundi,BDI,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,126803421.141,140876301.866,110250707.124,136279782.044,108560924.37,89439506.7796,118614366.038,94426059.516,88503995.3868,95578093.3063,129337457.334,50933673.9188,92701923.509,68482223.7814,59424642.3422,53027631.5668,44386285.3564,38527028.854,44835399.3091,64258424.9251,95594381.23,93167621.5883,89631590.1708,152972423.25,118346013.284,180727849.858,235664407.568,224157323.477,221061620.731,205904794.335,178101722.016,182253499.279,89631590.1708,,
Belgium,BEL,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95603629356e+11,2.18351604687e+11,2.61288090927e+11,2.85320318752e+11,3.07418057276e+11,3.61771442732e+11,4.12434789679e+11,3.33833434729e+11,3.69973500211e+11,4.2896752568e+11,4.07350140128e+11,4.26074562149e+11,4.35786838194e+11,3.65998717439e+11,3.87771672949e+11,3.61771442732e+11,,
Benin,BEN,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,114999847.205,144228368.665,116689442.663,161608802.725,164236816.015,176267911.665,226240536.649,454846131.502,183365348.362,182464437.727,282142394.55,335438290.062,380299609.82,457182310.538,304546390.64,288377450.203,363861227.683,519520775.364,501126969.645,540046994.451,540072881.851,614265785.666,649018517.658,540015315.056,556604987.316,598306187.015,528383618.261,520613441.612,600015319.962,713160660.985,784188931.241,771878274.597,952527100.523,1348294986.17,1630217579.93,1445501517.86,1657993333.49,1661963248.85,1876559799.92,2496261955.56,3040837804.94,2033003784.46,,1348294986.17,,
Burkina Faso,BFA,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545191219.42,667685224.071,740570832.144,983858484.305,1053018712.6,1889094303.28,2814569557.63,3289057293.76,3158949582.44,3207963251.94,,,740570832.144,,
Bangladesh,BGD,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,467262944.983,540578504.852,650265105.979,788218311.366,1004709656.55,1001600803.94,986625599.106,939854200.152,1139222872.74,1237344493.29,1095032074.22,1324819825.83,1568667896.2,1639169507.28,2063969775.46,2119707774.65,2581218358.87,3074085651.08,3524210922.06,4431482121.63,4614125018.07,5527210689.02,5865374133.36,6235944784.9,7214255771.62,6836930334.25,6885020099.53,7928264010.95,9117424421.48,11187053056.6,12887525768.4,14090342485.2,17495074302.5,17047455387.7,21654463975.1,26990086630.5,27591054728.5,31635199879.3,33057235033.7,34969256093.9,37598824997.1,14090342485.2,,
Bulgaria,BGR,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,9302000000.0,9336000000.0,9101000000.0,9888000000.0,10944000000.0,11360000000.0,9820000000.0,11455000000.0,10469000000.0,9491000000.0,6950000000.0,4136900000.0,5026700000.0,4897800000.0,5192000000.0,6776400000.0,6256200000.0,4819300000.0,5981308215.22,5794774757.88,6999800874.58,7247750923.89,7542363841.45,10024378359.2,13941336114.1,16158234956.9,20390736123.7,26298044351.4,30446201630.9,23264921370.5,25303890000.0,34031110000.0,32664150000.0,35980160000.0,36850470000.0,32040450000.0,33975420000.0,26298044351.4,,
Bahrain,BHR,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,1359292038.84,1719417175.35,2104637942.89,2256013633.27,2812764095.23,3766045400.72,4538031926.96,4262526607.08,3486170222.04,4017819153.39,3808244680.85,2963829787.23,3293085106.38,3313031914.89,3640691489.36,4119148936.17,3924468085.11,4008244680.85,4375266083.51,4435638710.76,4797606755.13,5368351527.85,5020213233.26,3994947206.94,5221705114.15,7176122542.29,6606378405.85,6956041298.32,7980662118.35,10336728457.3,13396925785.8,15662270455.6,17314361702.1,21231382978.7,15704787234.0,17880319148.9,22946010638.3,22853191489.4,24228191489.4,24088563829.8,,,17314361702.1,,
