Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Unnamed: 62,2018
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,77496740.7407,87879333.3333,109079962.963,131431037.037,147841740.741,164369296.296,182144111.111,208372851.852,240923925.926,290440148.148,337174851.852,398637740.741,438794777.778,459469074.074,481706333.333,499281148.148,535172777.778,589429592.593,577280740.741,633730629.63,680617111.111,727860592.593,766198925.926,830158768.889,800740257.407,814615323.704,855643099.63,919577142.593,1022191294.07,1157005441.48,1311401318.89,1368431037.04,1224253000.0,1152469074.07,1142042925.93,1211411703.7,1192925407.41,1280133333.33,1364863037.04,1460144703.7,1311401318.89,,
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,18593347519.3,19666256019.7,19911524246.8,21527606674.9,23787658192.4,25962593795.5,27288610146.7,30421099787.2,32687870982.2,36659200358.4,41304737372.6,45183111210.7,52003504672.9,63782190903.3,88906411201.2,97226546497.3,1.04974158578e+11,1.10266116082e+11,1.18400631626e+11,1.34793820289e+11,1.49887465181e+11,1.76804829908e+11,1.93954540439e+11,1.77176415536e+11,1.93503894222e+11,1.80470967247e+11,1.82281757135e+11,1.89375992589e+11,2.36135768335e+11,2.99941372852e+11,3.11425933051e+11,3.26068597441e+11,3.25692532493e+11,3.1237282181e+11,3.23216879972e+11,3.68391743392e+11,4.01819423369e+11,4.36097980905e+11,3.99778878112e+11,3.89146509588e+11,4.15446209885e+11,3.7889986047e+11,3.94635830892e+11,4.66853232382e+11,6.1332977664e+11,6.93764095625e+11,7.47572626535e+11,8.53764622753e+11,1.05533482543e+12,9.27168311e+11,1.14287677266e+12,1.39055703441e+12,1.53819447309e+12,1.56717861906e+12,1.45959790691e+12,1.34538314336e+12,1.20461643983e+12,8.53764622753e+11,,
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,6592693841.18,7311749633.36,7756110210.12,8374175257.73,9169983885.71,9994070615.86,10887682273.1,11579431668.9,12440625312.9,13582798556.2,15373005768.7,17858485956.6,22059612417.4,29515467987.9,35189299985.3,40059206763.1,42959976068.1,51545759220.7,62052258694.2,73937296654.7,82058912465.4,71034228097.5,71275287327.6,72121016623.3,67985345162.0,69386774474.6,99036165209.6,1.2416844286e+11,1.3333939708e+11,1.33105805928e+11,1.66463386663e+11,1.73794177725e+11,1.95078126346e+11,1.90379720927e+11,2.03535242742e+11,2.41038283063e+11,2.37250948791e+11,2.12790348405e+11,2.18259904402e+11,2.17185787343e+11,1.96799778883e+11,1.97337879195e+11,2.13377771504e+11,2.61695778781e+11,3.00904221505e+11,3.15974418605e+11,3.3599855727e+11,3.88691445387e+11,4.30294287388e+11,4.00172297861e+11,3.91892746545e+11,4.31120310089e+11,4.09425234155e+11,4.30068712972e+11,4.41885415806e+11,3.82065930308e+11,3.90799991147e+11,3.88691445387e+11,,
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8858006035.92,8792365810.51,4991350457.54,3973027396.65,3313739673.55,3052467522.36,3176749593.12,3962710163.11,4446396217.63,4581222442.46,5272617196.05,5707720390.85,6235795103.89,7276013031.97,8680472168.52,13245716099.0,20983019923.9,33050343782.8,48852482960.1,44291490420.5,52902703376.1,65951627200.2,69684317718.9,74164435946.5,75244166772.9,53074370486.0,37847715736.0,33050343782.8,,
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,195999990.0,202999992.0,213500006.0,232749998.0,260750008.0,158994962.963,165444571.429,178297142.857,183200000.0,190205714.286,242732571.429,252842285.714,246804571.429,304339839.552,345263492.063,420986666.667,448412753.623,547535555.556,610225555.556,782496666.667,919726666.667,969046666.667,1013222222.22,1082926304.46,987143931.167,1149979285.77,1201725497.07,1131466494.01,1082403219.49,1113924130.41,1132101252.52,1167398478.35,1083037670.6,938632612.026,925030590.154,1000428393.89,869033856.317,972896267.915,893770806.078,808077223.366,870486065.883,876794723.069,825394490.159,784654423.62,915257323.396,1117257279.46,1273180597.03,1356078278.19,1611634331.65,1739781488.75,2026864469.36,2355652125.85,2472384907.0,2714505634.53,3093647226.81,3066681386.74,3007029030.4,1356078278.19,,
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,11658722591.0,12400145221.6,13264015675.3,14260017387.0,15960106680.7,17371457607.9,18651883472.5,19992040788.5,21376353113.5,23710735894.7,26849148285.6,29981290025.5,37408591329.9,47999363071.8,56333010459.8,66029748930.6,71494539498.4,83283328418.7,1.01788475086e+11,1.16938066868e+11,1.27508202373e+11,1.05290614081e+11,92588895020.3,87650915976.3,83795680815.4,86730038793.4,1.20661220336e+11,1.50194077688e+11,1.63167853538e+11,1.65100094595e+11,2.06430841502e+11,2.11637816539e+11,2.36038384442e+11,2.25924679921e+11,2.46194938751e+11,2.89567323481e+11,2.81358175896e+11,2.54813599459e+11,2.60601911536e+11,2.6020242915e+11,2.37904919845e+11,2.3784196868e+11,2.58860436665e+11,3.1900282167e+11,3.70885026074e+11,3.87365750529e+11,4.09813197842e+11,4.7182110594e+11,5.18625897173e+11,4.84552792442e+11,4.83548031197e+11,5.27008453887e+11,4.97884216569e+11,5.20925468953e+11,5.31075861047e+11,4.55200045096e+11,4.67955709818e+11,4.7182110594e+11,,
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,226195579.357,235668222.43,236434906.754,253927646.476,269818988.259,289908720.649,302925280.774,306222000.407,326323097.356,330748211.46,333627758.155,335072975.216,410331900.951,504376035.716,554654786.965,676870140.342,698408244.385,750049739.152,928843304.784,1186231265.18,1405251547.24,1291119965.11,1267778489.03,1095348302.92,1051133927.0,1045712703.03,1336102040.71,1562412030.35,1620246187.15,1502294411.46,1959965243.76,1986437859.9,1695315305.7,2274557914.07,1598075932.35,2169627250.93,2361116587.86,2268301537.65,2455092582.31,2689787917.51,2569186642.87,2680213931.46,3054571081.69,3905366187.87,4521424807.23,4803702821.08,5142380779.44,5969535131.58,7132787396.67,7097198711.61,6970240895.5,7814081155.65,8152554487.31,9156748441.42,9707432015.61,8290986804.45,8583031398.22,5969535131.58,,
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,330442817.169,350247237.117,379567178.257,394040749.126,410321785.631,422916848.424,433889831.585,450753993.176,460442864.206,478298781.546,458404330.125,482411278.982,578595583.976,674773821.151,751133642.647,939972703.463,976547572.216,1131225278.78,1475584037.28,1748480982.19,1928720390.29,1775842679.94,1754450379.21,1600278756.44,1459880352.65,1552493413.99,2036303381.2,2369835438.62,2616040645.87,2615588545.69,3101301780.95,3135045684.1,2240264711.55,2332018010.55,1895290964.81,2379518099.23,2586550747.1,2447669403.89,2804902723.73,2993753187.1,2628920056.1,2812845513.57,3205592289.8,4205691222.11,4838551099.71,5462709498.45,5844669845.54,6771277870.96,8369637065.4,8369175126.25,8979966766.07,10724063457.8,11166063466.6,11947176342.0,12377391462.6,10419303761.4,11693235542.1,6771277870.96,,
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,4274893913.46,4817580183.57,5081413339.75,5319458351.12,5386054619.31,5906636556.96,6439687598.28,7253575399.27,7483685473.46,8471006100.89,8992721809.33,8751842839.73,6288245866.67,8086725729.34,12512460519.7,19448348073.5,10117113333.3,9651149301.87,13281767142.9,15565480321.9,18138049095.6,20249694002.4,18525399201.6,17609048821.5,18920840000.0,22278423076.9,21774033333.3,24298032258.1,26579005760.3,28781714763.8,31598341233.6,30957483290.5,31708873954.9,33166520084.8,33768662171.2,37939748051.4,46438482370.4,48244308274.8,49984559471.4,51270569883.5,53369787318.6,53991289844.3,54724081490.5,60158929188.3,65108544250.0,69442943089.4,71819083683.7,79611888213.1,91631278239.3,1.02477791472e+11,1.15279077465e+11,1.28637938711e+11,1.33355749482e+11,1.49990451022e+11,1.72885454931e+11,1.95078665828e+11,2.21415162446e+11,79611888213.1,,
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,19839230769.2,19870000000.0,19342000000.0,16563666666.7,17594944444.4,17155421052.6,20249294117.6,28101000000.0,22555941176.5,21988444444.4,20632090909.1,10943548387.1,10350515463.9,10829710144.9,9697416974.17,13063422619.0,10109404159.6,11195630536.9,14630974778.5,13495062850.3,13148099185.2,14135393875.6,16360346653.8,21074775206.3,26094622563.6,29821662537.3,34304448149.8,44765733380.0,54409138498.4,51884481410.4,50610031135.8,57418391041.6,53903028252.3,55758744571.1,56732006512.0,50199117547.0,53237882472.7,44765733380.0,,
